"ID_tramite","ID_tipo_tramite","tramite_fecha","ID_registro","ID_provincia","ID_origen","automotor_anio_modelo","ID_tipo_automotor","ID_marca","ID_modelo","ID_automotor_uso","ID_tipo_persona","ID_localidad_titular","ID_provincia_titular","ID_genero","titular_anio_nacimiento","ID_titular_pais","titular_porcentaje_titularidad"
"53945","2","2/23/2023","354","6","2","2023","20","2","818","2","2","651","6","0","1998","0","100"
"53946","2","2/8/2023","354","6","2","2023","20","2","817","2","2","651","6","0","1966","0","100"
"53947","2","2/22/2023","355","6","2","2023","20","94","351","2","2","651","6","0","1999","0","100"
"53948","2","2/8/2023","354","6","2","2023","20","2","817","2","2","651","6","0","1966","0","100"
"53949","2","2/9/2023","374","6","2","2023","20","94","351","2","2","651","6","0","1979","0","100"
"53950","2","2/7/2023","397","6","2","2023","20","94","351","2","2","651","6","0","1974","0","40"
"53951","2","2/7/2023","397","6","2","2023","20","94","351","2","2","651","6","0","1974","0","40"
"53952","2","2/9/2023","374","6","2","2023","20","94","351","2","2","651","6","0","1979","0","100"
"53953","2","2/17/2023","397","6","2","2023","20","94","351","2","2","651","6","0","1974","0","40"
"53954","2","2/17/2023","397","6","2","2023","20","94","351","2","2","651","6","0","1974","0","40"
"53955","2","2/8/2023","754","21","2","2023","8","122","742","1","1","2598","21","2","1966","2","50"
"53956","2","2/27/2023","754","21","2","2023","8","122","741","1","2","2598","21","0","1978","0","100"
"53957","2","2/7/2023","782","21","2","2023","8","122","737","1","2","2598","21","0","1988","0","100"
"53958","2","2/14/2023","757","21","2","2023","8","122","739","1","1","2734","21","2","1964","2","100"
"53959","2","2/13/2023","748","21","2","2023","8","122","739","1","1","775","21","2","1990","2","100"
"53960","2","2/28/2023","761","21","2","2023","8","25","342","1","2","2834","21","0","1948","0","100"
"53961","2","2/27/2023","751","21","2","2023","8","122","739","1","1","2531","21","2","1991","2","100"
"53962","2","2/28/2023","761","21","2","2023","8","25","342","1","2","2834","21","0","1948","0","100"
"53963","2","2/28/2023","761","21","2","2023","8","25","342","1","2","2834","21","0","1948","0","100"
"53964","2","2/27/2023","754","21","2","2023","8","25","342","1","1","2598","21","2","1973","2","100"
"53965","2","2/28/2023","761","21","2","2023","8","25","342","1","2","2834","21","0","1948","0","100"
"53966","2","2/1/2023","786","21","2","2023","8","25","341","1","2","2598","21","0","2021","0","100"
"53967","2","2/23/2023","754","21","2","2023","8","122","739","1","2","2598","21","0","2016","0","100"
"53968","2","2/7/2023","749","21","2","2023","8","122","742","1","1","1859","21","1","1959","2","100"
"53969","2","2/9/2023","749","21","2","2023","8","122","737","1","2","1863","21","0","2006","0","100"
"53970","2","2/1/2023","786","21","2","2023","8","122","738","1","1","2598","21","2","1989","2","100"
"53971","2","2/23/2023","755","21","2","2023","8","122","741","1","1","2607","21","2","1985","2","100"
"53972","2","2/24/2023","782","21","2","2023","8","94","1177","1","2","2598","21","0","2014","0","100"
"53973","2","2/9/2023","786","21","2","2023","8","122","737","1","1","2598","21","2","1993","2","100"
"53974","2","2/28/2023","781","21","2","2023","8","122","742","1","1","2598","21","2","1977","2","100"
"53975","2","2/27/2023","759","21","2","2023","8","122","737","1","1","2759","21","2","1980","2","100"
"53976","2","2/3/2023","784","21","2","2023","8","122","742","1","1","2834","21","1","1983","2","100"
"53977","2","2/8/2023","750","21","2","2023","8","122","737","1","2","2509","21","0","2018","0","100"
"53978","2","2/8/2023","750","21","2","2023","8","122","739","1","2","2509","21","0","2006","0","100"
"53979","2","2/23/2023","752","21","2","2023","8","122","738","1","2","2598","21","0","1962","0","100"
"53980","2","2/10/2023","761","21","2","2023","8","25","342","1","1","2834","21","2","1960","2","100"
"53981","2","2/27/2023","780","21","2","2023","8","122","737","1","1","2598","21","2","1956","2","100"
"53982","2","2/27/2023","783","21","2","2023","8","122","737","1","1","3102","21","2","1977","2","100"
"53983","2","2/1/2023","779","21","2","2023","8","122","739","1","1","2598","21","2","1965","2","100"
"53984","2","2/3/2023","752","21","2","2023","8","122","739","1","1","2598","21","2","1952","2","100"
"53985","2","2/2/2023","750","21","2","2023","8","122","739","1","1","2074","21","2","1995","2","100"
"53986","2","2/10/2023","784","21","2","2023","8","122","739","1","1","2834","21","2","1991","2","100"
"53987","2","2/13/2023","753","21","2","2023","8","122","739","1","1","2598","21","1","1977","2","100"
"53988","2","2/23/2023","762","21","2","2023","8","122","739","1","1","2881","21","1","1953","2","100"
"53989","2","2/28/2023","761","21","2","2023","8","25","342","1","2","2834","21","0","1948","0","100"
"53990","2","2/14/2023","750","21","2","2023","8","122","739","1","2","2509","21","0","2022","0","100"
"53991","2","2/23/2023","784","21","2","2023","8","122","737","1","1","2834","21","1","1984","2","100"
"53992","2","2/14/2023","760","21","2","2023","8","122","737","1","2","2760","21","0","2017","0","100"
"53993","2","2/23/2023","761","21","2","2023","8","25","345","1","1","2881","21","2","1992","2","100"
"53994","2","2/13/2023","758","21","2","2023","8","122","739","1","1","1211","21","2","1983","2","100"
"53995","2","2/27/2023","750","21","2","2023","8","122","738","1","1","2509","21","1","1953","2","100"
"53996","2","2/15/2023","758","21","2","2023","8","122","739","1","1","1211","21","1","1986","2","100"
"53997","2","2/23/2023","753","21","2","2023","8","112","890","1","1","2598","21","2","1967","2","100"
"53998","2","2/22/2023","749","21","2","2023","8","122","737","1","2","1859","21","0","2001","0","100"
"53999","2","2/23/2023","781","21","2","2023","8","25","342","1","2","2598","21","0","2020","0","100"
"54000","2","2/28/2023","761","21","2","2023","8","25","342","1","2","2834","21","0","1948","0","100"
"54001","2","2/15/2023","749","21","2","2023","8","122","737","1","1","1863","21","2","1978","2","100"
"54002","2","2/22/2023","753","21","2","2023","8","94","1181","1","2","2598","21","0","2018","0","100"
"54003","2","2/23/2023","785","21","2","2023","8","112","890","1","2","735","21","0","2015","0","100"
"54004","2","2/24/2023","782","21","2","2023","8","94","1177","1","2","2598","21","0","2014","0","100"
"54005","2","2/24/2023","749","21","2","2023","8","94","1187","1","2","1859","21","0","2021","0","100"
"54006","2","2/27/2023","775","21","2","2023","8","25","345","1","1","131","21","2","1957","2","100"
"54007","2","2/15/2023","743","21","2","2023","8","122","739","3","2","789","21","0","1961","0","100"
"54008","2","2/7/2023","765","21","2","2023","8","94","1182","1","1","3102","21","2","1964","2","100"
"54009","2","2/24/2023","741","21","2","2023","8","112","892","1","1","707","21","1","1971","2","100"
"54010","2","2/16/2023","743","21","2","2023","8","122","739","3","2","789","21","0","1961","0","100"
"54011","2","2/6/2023","775","21","2","2023","8","122","737","1","2","131","21","0","2011","0","100"
"54012","2","2/8/2023","770","21","2","2023","8","25","341","1","2","2598","21","0","2019","0","100"
"54013","2","2/28/2023","790","21","2","2023","8","122","739","1","1","2590","21","2","1980","2","100"
"54014","2","2/14/2023","738","20","2","2023","8","94","1172","1","1","673","20","2","1984","2","100"
"54015","2","2/23/2023","768","21","2","2023","8","122","739","1","1","1297","21","2","1957","2","100"
"54016","2","2/15/2023","790","21","2","2023","8","94","1177","1","1","2760","21","2","1955","2","100"
"54017","2","2/27/2023","745","21","2","2023","8","122","739","1","1","809","21","2","1997","2","100"
"54018","2","2/17/2023","769","21","2","2023","8","122","737","1","1","171","21","2","1991","2","100"
"54019","2","2/28/2023","762","21","2","2023","8","122","738","1","2","2834","21","0","1990","0","100"
"54020","2","2/17/2023","745","21","2","2023","8","122","737","1","1","1971","21","1","1963","2","100"
"54021","2","2/16/2023","765","21","2","2023","8","122","737","1","1","3102","21","1","1967","2","100"
"54022","2","2/6/2023","787","21","2","2023","8","94","1173","1","1","2598","21","2","1951","2","50"
"54023","2","2/8/2023","787","21","2","2023","8","122","741","1","1","2598","21","1","1984","2","100"
"54024","2","2/17/2023","768","21","2","2023","8","122","737","1","1","1297","21","1","1956","2","100"
"54025","2","2/17/2023","768","21","2","2023","8","122","737","1","1","1297","21","1","1956","2","100"
"54026","2","2/8/2023","789","21","2","2023","8","122","739","1","1","2509","21","1","1962","2","100"
"54027","2","2/23/2023","790","21","2","2023","8","25","345","1","2","2544","21","0","2018","0","100"
"54028","2","2/28/2023","768","21","2","2023","8","122","739","1","1","836","21","1","1978","2","50"
"54029","2","2/24/2023","741","21","2","2023","8","112","892","1","1","707","21","1","1971","2","100"
"54030","2","2/14/2023","764","21","2","2023","8","122","737","1","2","1905","21","0","1926","0","100"
"54031","2","2/22/2023","739","20","2","2023","8","122","739","1","1","1139","20","1","1979","2","100"
"54032","2","2/6/2023","789","21","2","2023","8","122","739","1","2","2509","21","0","2020","0","100"
"54033","2","2/28/2023","770","21","2","2023","8","94","1177","1","2","2598","21","0","2011","0","100"
"54034","2","2/8/2023","789","21","2","2023","8","122","738","1","2","2509","21","0","2015","0","100"
"54035","2","2/1/2023","738","20","2","2023","8","25","342","1","1","673","20","2","1953","2","100"
"54036","2","2/24/2023","740","21","2","2023","8","25","342","1","1","83","21","2","1954","2","100"
"54037","2","2/13/2023","747","21","2","2023","8","122","739","1","1","1335","21","2","1985","2","100"
"54038","2","2/2/2023","767","21","2","2023","8","112","892","1","2","3189","21","0","1996","0","100"
"54039","2","2/2/2023","749","21","2","2023","8","122","737","1","2","1863","21","0","1999","0","100"
"54040","2","2/28/2023","770","21","2","2023","8","122","737","1","2","2598","21","0","2007","0","100"
"54041","2","2/7/2023","775","21","2","2023","8","94","1173","1","2","193","21","0","2022","0","100"
"54042","2","2/7/2023","743","21","2","2023","8","122","739","1","1","789","21","2","1981","2","100"
"54043","2","2/23/2023","786","21","2","2023","8","122","739","1","1","2598","21","2","1980","2","100"
"54044","2","2/23/2023","771","21","2","2023","8","122","739","1","1","2927","21","2","1963","2","100"
"54045","2","2/16/2023","742","21","2","2023","8","122","737","1","1","762","21","2","1987","2","100"
"54046","2","2/13/2023","746","21","2","2023","8","122","742","1","1","1242","21","2","1984","2","100"
"54047","2","2/22/2023","776","21","2","2023","8","122","737","1","2","2598","21","0","2009","0","100"
"54048","2","2/8/2023","791","21","2","2023","8","122","738","1","1","2436","21","1","1984","2","100"
"54049","2","2/24/2023","762","21","2","2023","8","122","739","1","1","2854","21","2","1945","2","50"
"54050","2","2/1/2023","773","21","2","2023","8","94","1173","1","1","2961","21","2","1995","2","100"
"54051","2","2/27/2023","753","21","2","2023","8","112","890","1","1","2598","21","2","1986","2","100"
"54052","2","2/7/2023","775","21","2","2023","8","122","737","1","2","131","21","0","2018","0","100"
"54053","2","2/27/2023","746","21","2","2023","8","122","739","1","1","1242","21","1","1982","2","100"
"54054","2","2/15/2023","741","21","2","2023","8","122","742","1","1","707","21","2","1972","2","100"
"54055","2","2/22/2023","795","21","2","2023","8","122","739","1","2","2598","21","0","2001","0","100"
"54056","2","2/10/2023","819","22","2","2023","8","25","345","1","1","2963","22","1","1968","2","100"
"54057","2","2/6/2023","805","21","2","2023","8","122","739","1","2","2598","21","0","2012","0","100"
"54058","2","2/8/2023","797","21","2","2023","8","122","737","1","2","3102","21","0","2007","0","100"
"54059","2","2/15/2023","809","21","2","2023","8","122","737","1","1","1553","21","2","1977","2","100"
"54060","2","2/7/2023","830","24","2","2023","8","122","742","1","1","2784","24","2","1976","2","100"
"54061","2","2/3/2023","820","22","2","2023","8","122","742","1","1","2483","22","2","1982","2","100"
"54062","2","2/27/2023","808","21","2","2023","8","112","890","1","1","2864","21","2","1994","2","100"
"54063","2","2/27/2023","823","24","2","2023","8","122","737","1","1","3316","24","1","1969","2","100"
"54064","2","2/1/2023","799","21","2","2023","8","122","737","1","1","707","21","2","1968","2","100"
"54065","2","2/27/2023","817","22","2","2023","8","122","739","1","1","2496","22","2","1979","2","100"
"54066","2","2/6/2023","805","21","2","2023","8","122","739","1","2","2598","21","0","2012","0","100"
"54067","2","2/1/2023","824","24","2","2023","8","122","739","1","1","2784","24","2","1982","2","100"
"54068","2","2/22/2023","818","22","2","2023","8","122","739","1","1","1690","22","1","1975","2","100"
"54069","1","2/6/2023","819","22","1","2022","18","152","654","1","2","2857","22","0","2003","0","100"
"54070","2","2/2/2023","797","21","2","2023","8","122","741","1","1","748","21","2","1963","2","50"
"54071","2","2/14/2023","818","22","2","2023","8","112","890","1","1","1690","22","1","1982","2","100"
"54072","2","2/15/2023","795","21","2","2023","8","122","742","1","2","2598","21","0","2014","0","100"
"54073","2","2/14/2023","795","21","2","2023","8","122","739","1","1","2598","21","1","1954","2","100"
"54074","2","2/3/2023","830","24","2","2023","8","122","741","1","2","553","24","0","2006","0","100"
"54075","2","2/3/2023","801","21","2","2023","8","122","737","1","1","745","21","1","1999","2","100"
"54076","2","2/2/2023","801","21","2","2023","8","122","737","1","2","1211","21","0","1977","0","100"
"54077","2","2/22/2023","826","24","2","2023","8","94","1181","1","2","2612","24","0","2001","0","100"
